TimeStamp;Station.Number;Discrete.Chlorophyll;Salinity;Temperature
1977;10;;22;15.6
1977;10;2.1;24.8;14.9
1977;10;;23.1;19.3
1977;10;;21.3;13.6
1977;10;;25.7;19.6
1977;10;;21.9;16.8
1977;10;2.4;22.9;16.4
1977;10;;26.7;19.2
1977;11;;23.3;12.8
1977;11;;26;19.7
1977;11;;24.6;16.4
1977;11;;25.7;19
1977;11;;25.69;13.2
1977;11;2.1;27.1;19.2
1977;11;;24.7;16.7
1977;11;1.4;25.1;14.8
1977;11;;24.6;15.3
1977;12;;29.4;18.9
1977;12;;28.3;14.7
1977;12;;25.5;16.3
1977;12;3.6;28.4;19.1
1977;12;1.9;26.87;13.1
1977;12;1.9;28.3;14.7
1977;12;;26.4;16.4
1977;12;1.8;26.7;18.7
1977;12;;23.6;13.3
1977;12;1.8;26.8;14.9
1977;12;;27.5;12
1977;12;;28;14.7
1977;12;10.2;24.9;12.3
1977;13;;26.5;12.8
1977;13;;26.1;15.3
1977;13;;28.77;13.1
1977;13;2.6;30.7;18.6
1977;13;4.4;26.6;16.1
1977;13;2.2;29.8;14.7
1977;13;;30.2;18.2
1977;13;;27.9;16.1
1977;13;;28.8;17.6
1977;14;;29.3;17.2
1977;14;;27.6;15.5
1977;14;;30.5;18.1
1977;14;;28.6;15.9
1977;14;;26.7;12.3
1977;14;2;27.9;14.9
1977;14;;31.2;18.5
1977;14;2.2;30.2;14.5
1977;14;;27.47;13.4
1977;15;;30.8;14.4
1977;15;;30.6;11.5
1977;15;;30.5;11.5
1977;15;;29.3;14.5
1977;15;3.6;33.3;18.6
1977;15;;29.7;11.7
1977;15;4.1;29.2;15.6
1977;15;2.6;29.8;14.6
1977;15;;30.8;14.4
1977;15;2.4;30.46;12.9
1977;15;8.1;29.5;12.1
1977;15;2.2;31.9;17.9
1977;15;;28.2;15.3
1977;15;;28.7;12.2
1977;15;;29.8;14.6
1977;15;2.4;29.8;17.1
1977;16;;31.3;16
1977;16;;31.8;11.4
1977;16;;32.7;16.6
1977;16;2.2;31.4;14.3
1977;16;;32.17;12.3
1977;16;2.4;31.3;13.7
1977;16;2.2;32.7;17.2
1977;16;;31.7;14.3
1977;16;;31.2;14.1
1977;17;;31.2;11.6
1977;17;9.2;32.8;16.3
1977;17;2.4;33;17
1977;17;;32.5;13.8
1977;17;;32.4;13.8
1977;17;2.1;32.4;13.8
1977;17;;32.5;13.8
1977;17;;32.6;13.7
1977;17;2.9;31.7;15.8
1977;17;2.8;32;13.9
1977;17;;32.5;13.6
1977;17;;32.1;10.9
1977;17;7.8;32.05;12.3
1977;17;;31.9;11.4
1977;17;3.8;31.3;11.4
1977;17;1.4;32;13.7
1977;17;;30.8;14.3
1977;18;;32.2;
1977;2;3.6;9.6;15.2
1977;2;;4.2;16.6
1977;2;;5.88;13.9
1977;2;11.2;9.2;20.4
1977;2;;4.1;14
1977;2;;8;21.4
1977;2;;5.6;17.2
1977;2;;5.8;21.6
1977;2;;5.8;17
1977;20;;32.4;13.6
1977;20;2.4;33;17
1977;20;;33;15.8
1977;20;;32.6;14.9
1977;20;;32.6;14.6
1977;20;;32.1;13.8
1977;20;8.7;32.34;12.2
1977;20;;32.3;14.1
1977;21;3.4;32.1;14.5
1977;21;;32.5;15.1
1977;21;;32.5;15.1
1977;21;1.3;32.5;15.1
1977;21;;32.5;15.1
1977;21;;32;14.3
1977;21;2.2;32.9;17.1
1977;21;;32.17;12.9
1977;21;7.5;32.7;17.1
1977;21;1.5;32.4;13.8
1977;21;3;32.2;16.3
1977;22;;32.9;17.7
1977;22;;32.6;17.3
1977;22;3.7;31.9;14.5
1977;22;1.8;32.6;15.1
1977;22;;32.3;13.9
1977;22;;32.1;14.6
1977;22;;32.4;16
1977;22;8;32.36;12.2
1977;23;1.9;33;18.1
1977;23;;32.7;17.8
1977;23;2.9;32.08;13.1
1977;23;;32;14.3
1977;23;;31.9;15.1
1977;23;;32.3;16.1
